region_en,first,second
nursultan,181416,127907
almaty,367450,252204
shyment,221133,125095
akmola,93976,56895
aktobe,104305,59758
almaty_region,282268,175291
atyrau,69297,27517
east_kazakhstan,200495,110755
jambyl,140156,74470
west_kazakhstan,80867,44543
karagandy,186613,132303
kostanay,102532,62578
kyzylorda,113150,59734
mangistau,48441,27041
pavlodar,99387,62303
north_kazakhstan,86331,57492
turkestan,298482,123008
